q_id,difficulty,primary_type,secondary_types,task_type,reference_date,question,expected_deliverable,source_hint_urls
KKY-04,4,KKY,KANUN,document_selection,2026-04-19,Bir işveren yeni açtığı işyerini SGK'ya hangi usul ve esaslara göre bildireceğini soruyor. Kanun yanında hangi kurum yönetmeliğini merkezde tutmalısın?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.sgk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-05,4,KKY,KANUN,document_selection,2026-04-19,Gerçek hizmet süresinin geriye dönük düzeltilmesi ve sigortalı tescil işlemleri için hangi kurum yönetmeliği ana uygulama metnidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.sgk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-06,5,KKY,KANUN|TEBLIGLER,document_selection,2026-04-19,Elektrik piyasasında önlisans/lisans başvurusu ve lisans sahibinin hak-yükümlülükleri sorusunda hangi kurum yönetmeliği ana eksendir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.epdk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-07,4,KKY,KANUN,document_selection,2026-04-19,"Usulsüz elektrik kullanımı, kesme-bağlama ve tüketiciye tanınacak süreler sorusunda hangi kurum yönetmeliği ilk bakılacak metindir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.epdk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-08,5,KKY,KANUN,document_selection,2026-04-19,Bir şirket elektronik haberleşme hizmeti sunmak veya altyapı işletmek istiyor. Yetkilendirme bakımından ana kurum yönetmeliği hangisi?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.btk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-09,5,KKY,KANUN,document_selection,2026-04-19,Bir platform internet üzerinden isteğe bağlı yayın hizmeti sunmak istiyor. İnternet yayın lisansı ve iletim yetkisi bakımından hangi RTÜK yönetmeliği aranmalı?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.rtuk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
UY-01,4,UY,YONETMELIK|KANUN,document_selection,2026-04-19,"Bir lisans öğrencisinin ders ekle-sil, kayıt yenileme ve dönemlik azami kredi yükü sorusunu cevaplarken yalnız 2547 ve YÖK çerçevesi yeterli midir, yoksa hangi üniversite yönetmeliği merkezde olmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-02,4,UY,YONETMELIK|KANUN,scenario_applicability,2026-04-19,"Bir öğrenci final notuna itiraz edecek. Süre, merci ve yeniden inceleme usulü için önce hangi tür üniversite yönetmeliğine bakılmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-03,4,UY,YONETMELIK,scenario_applicability,2026-04-19,"Hazırlık sınıfında devamsızlık nedeniyle başarısız sayılma, yeterlik sınavına girme hakkı ve muafiyet şartları sorulduğunda hangi üniversite yönetmeliği aranmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-04,5,UY,YONETMELIK,scenario_applicability,2026-04-19,"Bir yüksek lisans öğrencisinin tez savunma jürisi, düzeltme süresi ve azami öğrenim süresi hakkında cevap verirken hangi yerel ve hangi genel yönetmeliği birlikte okumak gerekir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-05,4,UY,YONETMELIK,document_selection,2026-04-19,"Yaz okulunda başka bir üniversiteden ders alma, kredi üst sınırı ve ders eşdeğerliği sorularında hangi üniversite yönetmeliği ilk bakılacak metindir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-06,4,UY,YONETMELIK|KANUN,hierarchy_conflict,2026-04-19,"Bir üniversite senato kararı, üniversitenin lisansüstü eğitim yönetmeliğindeki asgari jüri veya savunma koşullarını daraltıyorsa hangisi uygulanır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-07,4,UY,YONETMELIK|KANUN,scenario_applicability,2026-04-19,"Mazeret sınavı, tek ders sınavı ve bütünleme hakkı bakımından bir öğrencinin somut başvuru imkânını hangi belge zinciriyle analiz edersin?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-08,5,UY,YONETMELIK,temporal_validity,2026-04-19,Bir üniversitenin 2024 tarihli çift anadal/yandal yerel düzenlemesi ile YÖK'ün 28.02.2026 değişikliği arasında çelişki varsa hangisi esas alınır ve cevap nasıl kurulmalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-09,4,UY,YONETMELIK|KANUN,scenario_applicability,2026-04-19,"Kayıt dondurma/izinli sayılma, sağlık raporu veya ailevi sebeplerle ara verme taleplerinde hangi üniversite yönetmeliği esas alınmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
UY-10,4,UY,YONETMELIK,document_selection,2026-04-19,"Uzaktan öğretim, çevrimiçi sınav güvenliği ve ölçme değerlendirme usulleri bakımından bir üniversitede hangi yerel düzenleme grubu ilk taranmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
KKY-10,4,KKY,KANUN,scenario_applicability,2026-04-19,Bir mobil operatör taahhütlü abonelikte tek taraflı tarife değişikliği yapıyor ve aboneden cayma bedeli istiyor. Hangi BTK kurum yönetmeliği ana uygulama metnidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.btk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-11,4,KKY,KANUN|TEBLIGLER,document_selection,2026-04-19,"Kredi kartı limiti, asgari ödeme, kartın kullanıma kapatılması ve kart hamiline bildirim yükümlülükleri için hangi kurum yönetmeliği ilk bakılacak metindir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.bddk.org.tr/Mevzuat | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-01,5,TEBLIGLER,CB_KARAR,current_update,2026-04-19,2026 yılında yaklaşık maliyet/eşik değer/ilan parasal limitleriyle çalışan bir kamu ihale sorusunda neden önce 2026/1 Kamu İhale Genel Tebliği'ne bakmalısın?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.kik.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-02,5,TEBLIGLER,CB_KARAR,document_selection,2026-04-19,Döviz cinsinden sözleşme yasağının hangi işlemler için istisna tanıdığını ararken neden 32 sayılı Karar kadar 2008-32/34 sayılı Tebliğ de merkezde olmalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-03,5,TEBLIGLER,KANUN,document_selection,2026-04-19,"e-Fatura, e-Arşiv Fatura ve e-İrsaliye yükümlülükleri için 2026'da ana uygulama tebliği hangisidir? Eski dağınık tebliğ zincirine saplanma.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.gib.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-04,5,TEBLIGLER,KANUN,temporal_validity,2026-04-19,KDV tevkifatı veya iade sorusunda sadece eski özelgeler ve sirkülerler yerine hangi ana tebliğin konsolide metni esas alınmalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.gib.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-05,5,TEBLIGLER,KANUN,document_selection,2026-04-19,Borsada işlem gören bir şirketin finansal raporlarını hangi format ve standartlara göre hazırlayacağını soran bir vakada hangi SPK tebliği ana uygulama metnidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.spk.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-06,4,TEBLIGLER,KANUN,document_selection,2026-04-19,"Şirket kuruluşu, unvan tescili, MERSİS başvurusu ve elektronik başvuru belgeleri sorusunda hangi tebliğ ilk bakılacak uygulama kaynağıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://ticaret.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-07,4,TEBLIGLER,KANUN,document_selection,2026-04-19,"e-Defter uygulamasına geçiş, format, berat ve saklama süreçlerinde hangi ana tebliğ merkezde olmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.gib.gov.tr/ | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TEB-08,4,TEBLIGLER,KANUN,document_selection,2026-04-19,Posta veya hızlı kargo yoluyla gelen eşyanın basitleştirilmiş gümrük işlemleri sorusunda hangi gümrük tebliği ana uygulama metni olarak taranmalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://ticaret.gov.tr/gumruk-islemleri | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
MULGA-01,5,MULGA,UY|KANUN,temporal_validity,2026-04-19,Yükseköğretim öğrencisine disiplin cezası verilirken hâlâ Yükseköğretim Kurumları Öğrenci Disiplin Yönetmeliğine dayanmak güvenli midir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.yok.gov.tr/
MULGA-02,5,MULGA,CB_YONETMELIK,temporal_validity,2026-04-19,Kurum arşiv hizmetleri için 1988 tarihli Devlet Arşiv Hizmetleri Hakkında Yönetmeliği esas almak neden hatalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
MULGA-03,5,MULGA,TUZUK,temporal_validity,2026-04-19,Tapu işlemlerinde 1994 tarihli Tapu Sicili Tüzüğünü kullanmak neden doğrudan hata üretir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
MULGA-04,5,MULGA,KHK|KANUN,temporal_validity,2026-04-19,"Marka, patent ve tasarım uyuşmazlığında 551/554/555/556 sayılı eski KHK'larla 2026'da doğrudan hüküm kurmak neden risklidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
MULGA-05,5,MULGA,KANUN,temporal_validity,2026-04-19,2026 kira artış sorusunda geçici %25 sınırını hâlâ otomatik uygulamak neden güncellik hatasıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
