batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyerA_decision,lawyerA_comment,lawyerA_corrected_answer,lawyerA_reviewer_name,lawyerB_decision,lawyerB_comment,lawyerB_corrected_answer,lawyerB_reviewer_name,decision_pair,is_disagreement,final_bucket,final_answer_source,final_answer,include_in_training,unresolved_reason
50,39746622ea51175c,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:119:tpl:2,train_pending_review,,,,,TBK m.119 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.119] Başlık: Temerrüde düşen borçlu, beklenmedik hâl sebebiyle
doğacak zarardan sorumludur. Borçlu, temerrüde düşmekte kusuru olmadığını veya borcunu zamanında ifa etmiş olsaydı bile beklenmedik hâlin ifa konusu şeye zarar vereceğini ispat ederek bu sorumluluktan kurtulabilir.","Madde metni şu kuralı içerir: ""doğacak zarardan sorumludur. Borçlu, temerrüde düşmekte kusuru olmadığını veya borcunu zamanında ifa etmiş olsaydı bile beklenmedik hâlin ifa konusu şeye zarar vereceğini ispat ederek bu sorumluluktan kurtulabilir."" [Kaynak: TBK m.119]",REVISE,,"Madde metni şu kuralı içerir: ""Temerrüde düşen borçlu, beklenmedik hâl sebebiyle doğacak zarardan sorumludur. Borçlu, temerrüde düşmekte kusuru olmadığını veya borcunu zamanında ifa etmiş olsaydı bile beklenmedik hâlin ifa konusu şeye zarar vereceğini ispat ederek bu sorumluluktan kurtulabilir."" [Kaynak: TBK m.119]",,REVISE,,"Madde metni şu kuralı içerir: Temerrüde düşen borçlu, beklenmedik hâl sebebiyle doğacak zarardan sorumludur. Borçlu, temerrüde düşmekte kusuru olmadığını veya borcunu zamanında ifa etmiş olsaydı bile beklenmedik hâlin ifa konusu şeye zarar vereceğini ispat ederek bu sorumluluktan kurtulabilir. [Kaynak: TBK m.119]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Temerrüde düşen borçlu, beklenmedik hâl sebebiyle doğacak zarardan sorumludur. Borçlu, temerrüde düşmekte kusuru olmadığını veya borcunu zamanında ifa etmiş olsaydı bile beklenmedik hâlin ifa konusu şeye zarar vereceğini ispat ederek bu sorumluluktan kurtulabilir."" [Kaynak: TBK m.119]",1,
51,39a636edd7ee72ec,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:524:tpl:1,train_pending_review,,,,,TBK m.524'e göre temel kural nedir?,"[Kaynak: TBK m.524] Başlık: IV. Evlenme simsarlığı / Evlenme simsarlığından doğan ücret hakkında dava
açılamaz ve takip yapılamaz.","TBK m.524 metnine göre: ""açılamaz ve takip yapılamaz."" [Kaynak: TBK m.524]",REVISE,,"TBK m.524 metnine göre: ""Evlenme simsarlığından doğan ücret hakkında dava açılamaz ve takip yapılamaz."" [Kaynak: TBK m.524]",,REVISE,,"TBK m.524 metnine göre: ""Evlenme simsarlığından doğan ücret hakkında dava açılamaz ve takip yapılamaz."" [Kaynak: TBK m.524]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.524 metnine göre: ""Evlenme simsarlığından doğan ücret hakkında dava açılamaz ve takip yapılamaz."" [Kaynak: TBK m.524]",1,
52,39ab750b47784bbf,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:331:tpl:4,train_pending_review,,,,,TBK m.331 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.331] Başlık: 1. Önemli sebepler / Taraflardan her biri, kira ilişkisinin devamını kendisi
için çekilmez hâle getiren önemli sebeplerin varlığı durumunda, sözleşmeyi yasal fesih bildirim süresine uyarak her zaman feshedebilir. Hâkim, durum ve koşulları göz önünde tutarak, olağanüstü fesih bildiriminin parasal sonuçlarını karara bağlar.","Doğrudan metin dayanağı: ""için çekilmez hâle getiren önemli sebeplerin varlığı durumunda, sözleşmeyi yasal fesih bildirim süresine uyarak her zaman feshedebilir."" [Kaynak: TBK m.331]",REVISE,,"Doğrudan metin dayanağı: ""Taraflardan her biri, kira ilişkisinin devamını kendisi için çekilmez hâle getiren önemli sebeplerin varlığı durumunda, sözleşmeyi yasal fesih bildirim süresine uyarak her zaman feshedebilir. Hâkim, durum ve koşulları göz önünde tutarak, olağanüstü fesih bildiriminin parasal sonuçlarını karara bağlar."" [Kaynak: TBK m.331]",,REVISE,,"Doğrudan metin dayanağı: ""Taraflardan her biri, kira ilişkisinin devamını kendisi için çekilmez hâle getiren önemli sebeplerin varlığı durumunda, sözleşmeyi yasal fesih bildirim süresine uyarak her zaman feshedebilir. Hâkim, durum ve koşulları göz önünde tutarak, olağanüstü fesih bildiriminin parasal sonuçlarını karara bağlar."" [Kaynak: TBK m.331]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Taraflardan her biri, kira ilişkisinin devamını kendisi için çekilmez hâle getiren önemli sebeplerin varlığı durumunda, sözleşmeyi yasal fesih bildirim süresine uyarak her zaman feshedebilir. Hâkim, durum ve koşulları göz önünde tutarak, olağanüstü fesih bildiriminin parasal sonuçlarını karara bağlar."" [Kaynak: TBK m.331]",1,
53,39af8e2ec1854321,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:642:tpl:3,train_pending_review,,,,,TBK m.642 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.642] Başlık: 1. Katılım payı için yapılacak işlem / Katılım payı olarak bir şeyin mülkiyetini koyan ortak,
ortaklığın sona ermesi üzerine yapılacak tasfiye sonucunda, o şeyi olduğu gibi geri alamaz; ancak koyduğu katılım payına ne değer biçilmişse, o değeri isteyebilir. Bu değer belirlenmemişse, geri alma, o şeyin katılım payı olarak konduğu zamandaki değeri üzerinden yapılır.","Özet: ""ortaklığın sona ermesi üzerine yapılacak tasfiye sonucunda, o şeyi olduğu gibi geri alamaz; ancak koyduğu katılım payına ne değer biçilmişse, o değeri isteyebilir."" [Kaynak: TBK m.642]",REVISE,,"Özet: ""Katılım payı olarak bir şeyin mülkiyetini koyan ortak, ortaklığın sona ermesi üzerine yapılacak tasfiye sonucunda, o şeyi olduğu gibi geri alamaz; ancak koyduğu katılım payına ne değer biçilmişse, o değeri isteyebilir. Bu değer belirlenmemişse, geri alma, o şeyin katılım payı olarak konduğu zamandaki değeri üzerinden yapılır."" [Kaynak: TBK m.642]",,REVISE,,"Özet: Katılım payı olarak bir şeyin mülkiyetini koyan ortak, ortaklığın sona ermesi üzerine yapılacak tasfiye sonucunda, o şeyi olduğu gibi geri alamaz; ancak koyduğu katılım payına ne değer biçilmişse, o değeri isteyebilir. Bu değer belirlenmemişse, geri alma, o şeyin katılım payı olarak konduğu zamandaki değeri üzerinden yapılır. [Kaynak: TBK m.642]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Katılım payı olarak bir şeyin mülkiyetini koyan ortak, ortaklığın sona ermesi üzerine yapılacak tasfiye sonucunda, o şeyi olduğu gibi geri alamaz; ancak koyduğu katılım payına ne değer biçilmişse, o değeri isteyebilir. Bu değer belirlenmemişse, geri alma, o şeyin katılım payı olarak konduğu zamandaki değeri üzerinden yapılır."" [Kaynak: TBK m.642]",1,
54,39c6bc3446d45f09,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:532:tpl:2,train_pending_review,,,,,TBK m.532 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.532] Başlık: I. Tanımı / Alım veya satım komisyonculuğu, komisyoncunun ücret
karşılığında, kendi adına ve vekâlet verenin hesabına kıymetli evrak ve taşınırların alım veya satımını üstlendiği sözleşmedir. Bu bölümdeki hükümler saklı kalmak üzere, komisyon sözleşmelerine vekâlet hükümleri uygulanır. II. Komisyoncunun borçları","Madde metni şu kuralı içerir: ""karşılığında, kendi adına ve vekâlet verenin hesabına kıymetli evrak ve taşınırların alım veya satımını üstlendiği sözleşmedir."" [Kaynak: TBK m.532]",REVISE,,"Madde metni şu kuralı içerir: ""Alım veya satım komisyonculuğu, komisyoncunun ücret karşılığında, kendi adına ve vekâlet verenin hesabına kıymetli evrak ve taşınırların alım veya satımını üstlendiği sözleşmedir. Bu bölümdeki hükümler saklı kalmak üzere, komisyon sözleşmelerine vekâlet hükümleri uygulanır."" [Kaynak: TBK m.532]",,REVISE,,"Madde metni şu kuralı içerir: Alım veya satım komisyonculuğu, komisyoncunun ücret karşılığında, kendi adına ve vekâlet verenin hesabına kıymetli evrak ve taşınırların alım veya satımını üstlendiği sözleşmedir. Bu bölümdeki hükümler saklı kalmak üzere, komisyon sözleşmelerine vekâlet hükümleri uygulanır. [Kaynak: TBK m.532]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Alım veya satım komisyonculuğu, komisyoncunun ücret karşılığında, kendi adına ve vekâlet verenin hesabına kıymetli evrak ve taşınırların alım veya satımını üstlendiği sözleşmedir. Bu bölümdeki hükümler saklı kalmak üzere, komisyon sözleşmelerine vekâlet hükümleri uygulanır."" [Kaynak: TBK m.532]",1,
55,3a000c1a68c8e0f6,TBK-045,hard,tbk_genel,data/review_sheets/phase2_first_batch_20260308/reconciled_20260308/batch1_first100_reconciled_master.jsonl,8083af19b9935172,train_pending_review,,,,,Garantörlük (garanti sözleşmesi) ile kefalet sözleşmesi arasındaki temel fark nedir?,"[Beklenen Kaynak: TBK m.128] (eval artefaktı metadata alanı)
[Beklenen Kaynak: TBK m.582] (eval artefaktı metadata alanı)","Temel fark, kefaletin asıl borca bağlı (fer’î) bir kişisel teminat olması, garanti sözleşmesinin ise kural olarak asıl borç ilişkisinden bağımsız bir taahhüt doğurmasıdır. Bu nedenle kefalette asıl borç geçersiz veya sona ermişse kefalet de etkilenir ve kefil asıl borca ilişkin def’ileri ileri sürebilir; garanti veren ise kural olarak bağımsız olarak sorumlu olur. Kefalet TBK’da sıkı şekil şartlarına tabidir; garanti sözleşmesi aynı rejime tabi değildir.",APPROVE,,,,REVISE,,"Temel fark, kefaletin asıl borca bağlı fer’î bir kişisel teminat olması; garanti sözleşmesinin ise kural olarak bağımsız ve asli bir taahhüt doğurmasıdır. Bu nedenle kefalette asıl borcun geçersizliği veya sona ermesi kefili etkiler ve kefil asıl borca ilişkin def’ileri ileri sürebilir. Garanti veren ise kural olarak asıl borç ilişkisinden bağımsız sorumluluk üstlenir. Ayrıca kefalet, TBK’daki sıkı şekil şartlarına tabidir. [Kaynak: TBK m.128] [Kaynak: TBK m.582]",,APPROVE+REVISE,1,revised_needed,lawyerB_corrected,"Temel fark, kefaletin asıl borca bağlı fer’î bir kişisel teminat olması; garanti sözleşmesinin ise kural olarak bağımsız ve asli bir taahhüt doğurmasıdır. Bu nedenle kefalette asıl borcun geçersizliği veya sona ermesi kefili etkiler ve kefil asıl borca ilişkin def’ileri ileri sürebilir. Garanti veren ise kural olarak asıl borç ilişkisinden bağımsız sorumluluk üstlenir. Ayrıca kefalet, TBK’daki sıkı şekil şartlarına tabidir. [Kaynak: TBK m.128] [Kaynak: TBK m.582]",1,
56,3a05850e332fb491,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:489:tpl:2,train_pending_review,,,,,TBK m.489 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.489] Başlık: I. Yayımlatma hakkının / Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin
ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır.","Madde metni şu kuralı içerir: ""ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur."" [Kaynak: TBK m.489]",REVISE,,"Madde metni şu kuralı içerir: ""Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır."" [Kaynak: TBK m.489]",,REVISE,,"Madde metni şu kuralı içerir: Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır. [Kaynak: TBK m.489]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır."" [Kaynak: TBK m.489]",1,
57,3a5d8685f2f73adc,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:437:tpl:4,train_pending_review,,,,,TBK m.437 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.437] Başlık: 2. Sonuçları / Haklı fesih sebepleri, taraflardan birinin sözleşmeye
uymamasından doğmuşsa o taraf, sebep olduğu zararı, hizmet ilişkisine dayanan bütün haklar göz önünde tutularak, tamamen gidermekle yükümlüdür. Diğer durumlarda hâkim, bütün durum ve koşulları göz önünde tutarak haklı sebeple feshin maddi sonuçlarını serbestçe değerlendirir. b. Haklı sebebe dayanmayan fesihte","Doğrudan metin dayanağı: ""uymamasından doğmuşsa o taraf, sebep olduğu zararı, hizmet ilişkisine dayanan bütün haklar göz önünde tutularak, tamamen gidermekle yükümlüdür."" [Kaynak: TBK m.437]",REVISE,,"Doğrudan metin dayanağı: ""Haklı fesih sebepleri, taraflardan birinin sözleşmeye uymamasından doğmuşsa o taraf, sebep olduğu zararı, hizmet ilişkisine dayanan bütün haklar göz önünde tutularak, tamamen gidermekle yükümlüdür. Diğer durumlarda hâkim, bütün durum ve koşulları göz önünde tutarak haklı sebeple feshin maddi sonuçlarını serbestçe değerlendirir."" [Kaynak: TBK m.437]",,REVISE,,"Doğrudan metin dayanağı: ""Haklı fesih sebepleri, taraflardan birinin sözleşmeye uymamasından doğmuşsa o taraf, sebep olduğu zararı, hizmet ilişkisine dayanan bütün haklar göz önünde tutularak, tamamen gidermekle yükümlüdür. Diğer durumlarda hâkim, bütün durum ve koşulları göz önünde tutarak haklı sebeple feshin maddi sonuçlarını serbestçe değerlendirir."" [Kaynak: TBK m.437]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Haklı fesih sebepleri, taraflardan birinin sözleşmeye uymamasından doğmuşsa o taraf, sebep olduğu zararı, hizmet ilişkisine dayanan bütün haklar göz önünde tutularak, tamamen gidermekle yükümlüdür. Diğer durumlarda hâkim, bütün durum ve koşulları göz önünde tutarak haklı sebeple feshin maddi sonuçlarını serbestçe değerlendirir."" [Kaynak: TBK m.437]",1,
58,3a606a518e67d0a1,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:449:tpl:2,train_pending_review,,,,,TBK m.449 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.449] Başlık: II. Kurulması / Pazarlamacılık sözleşmesi, sözleşmenin süresini, sona
ermesini, pazarlamacının yetkilerini, ücret ve masrafların nasıl ödeneceğini, taraflardan birinin yerleşim yeri yabancı ülkede ise uygulanacak hukukun ve yetkili mahkemenin hangisi olduğunu içerir. Yukarıdaki fıkra uyarınca sözleşmede yer alması öngörülen hususlar taraflarca belirlenmemişse, kanun hükümleri ve alışılmış hizmet koşulları uygulanır. B. Pazarlamacının yükümlülük ve yetkileri","Madde metni şu kuralı içerir: ""ermesini, pazarlamacının yetkilerini, ücret ve masrafların nasıl ödeneceğini, taraflardan birinin yerleşim yeri yabancı ülkede ise uygulanacak hukukun ve yetkili mahkemenin hangisi olduğunu içerir."" [Kaynak: TBK m.449]",REVISE,,"Madde metni şu kuralı içerir: ""Pazarlamacılık sözleşmesi, sözleşmenin süresini, sona ermesini, pazarlamacının yetkilerini, ücret ve masrafların nasıl ödeneceğini, taraflardan birinin yerleşim yeri yabancı ülkede ise uygulanacak hukukun ve yetkili mahkemenin hangisi olduğunu içerir. Yukarıdaki fıkra uyarınca sözleşmede yer alması öngörülen hususlar taraflarca belirlenmemişse, kanun hükümleri ve alışılmış hizmet koşulları uygulanır."" [Kaynak: TBK m.449]",,REVISE,,"Madde metni şu kuralı içerir: Pazarlamacılık sözleşmesi, sözleşmenin süresini, sona ermesini, pazarlamacının yetkilerini, ücret ve masrafların nasıl ödeneceğini, taraflardan birinin yerleşim yeri yabancı ülkede ise uygulanacak hukukun ve yetkili mahkemenin hangisi olduğunu içerir. Yukarıdaki fıkra uyarınca sözleşmede yer alması öngörülen hususlar taraflarca belirlenmemişse, kanun hükümleri ve alışılmış hizmet koşulları uygulanır. [Kaynak: TBK m.449]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Pazarlamacılık sözleşmesi, sözleşmenin süresini, sona ermesini, pazarlamacının yetkilerini, ücret ve masrafların nasıl ödeneceğini, taraflardan birinin yerleşim yeri yabancı ülkede ise uygulanacak hukukun ve yetkili mahkemenin hangisi olduğunu içerir. Yukarıdaki fıkra uyarınca sözleşmede yer alması öngörülen hususlar taraflarca belirlenmemişse, kanun hükümleri ve alışılmış hizmet koşulları uygulanır."" [Kaynak: TBK m.449]",1,
59,3a6b315652597c62,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:607:tpl:3,train_pending_review,,,,,TBK m.607 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.607] Başlık: A. Tanımı / Ömür boyu gelir sözleşmesi, gelir borçlusunun
gelir alacaklısına, içlerinden birinin veya üçüncü bir kişinin ömrü boyunca belirli dönemsel edimlerde bulunmayı üstlendiği sözleşmedir. Sözleşme, aksine açık bir hüküm yoksa, gelir alacaklısının ömrü boyunca yapılmış sayılır. Gelir borçlusunun veya üçüncü bir kişinin ömrüyle sınırlı olarak bağlanmış olan gelir, aksi kararlaştırılmamışsa gelir alacaklısının mirasçılarına geçer.","Özet: ""gelir alacaklısına, içlerinden birinin veya üçüncü bir kişinin ömrü boyunca belirli dönemsel edimlerde bulunmayı üstlendiği sözleşmedir."" [Kaynak: TBK m.607]",REVISE,,"Özet: ""Ömür boyu gelir sözleşmesi, gelir borçlusunun gelir alacaklısına, içlerinden birinin veya üçüncü bir kişinin ömrü boyunca belirli dönemsel edimlerde bulunmayı üstlendiği sözleşmedir. Sözleşme, aksine açık bir hüküm yoksa, gelir alacaklısının ömrü boyunca yapılmış sayılır. Gelir borçlusunun veya üçüncü bir kişinin ömrüyle sınırlı olarak bağlanmış olan gelir, aksi kararlaştırılmamışsa gelir alacaklısının mirasçılarına geçer."" [Kaynak: TBK m.607]",,REVISE,,"Özet: Ömür boyu gelir sözleşmesi, gelir borçlusunun gelir alacaklısına, içlerinden birinin veya üçüncü bir kişinin ömrü boyunca belirli dönemsel edimlerde bulunmayı üstlendiği sözleşmedir. Sözleşme, aksine açık bir hüküm yoksa, gelir alacaklısının ömrü boyunca yapılmış sayılır. Gelir borçlusunun veya üçüncü bir kişinin ömrüyle sınırlı olarak bağlanmış olan gelir, aksi kararlaştırılmamışsa gelir alacaklısının mirasçılarına geçer. [Kaynak: TBK m.607]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Ömür boyu gelir sözleşmesi, gelir borçlusunun gelir alacaklısına, içlerinden birinin veya üçüncü bir kişinin ömrü boyunca belirli dönemsel edimlerde bulunmayı üstlendiği sözleşmedir. Sözleşme, aksine açık bir hüküm yoksa, gelir alacaklısının ömrü boyunca yapılmış sayılır. Gelir borçlusunun veya üçüncü bir kişinin ömrüyle sınırlı olarak bağlanmış olan gelir, aksi kararlaştırılmamışsa gelir alacaklısının mirasçılarına geçer."" [Kaynak: TBK m.607]",1,
60,3a9493b44de5617f,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:90:tpl:1,train_pending_review,,,,,TBK m.90'e göre temel kural nedir?,"[Kaynak: TBK m.90] Başlık: I. Süreye bağlanmamış / İfa zamanı taraflarca kararlaştırılmadıkça veya hukuki
ilişkinin özelliğinden anlaşılmadıkça her borç, doğumu anında muaccel olur. II. Süreye bağlı borç","TBK m.90 metnine göre: ""ilişkinin özelliğinden anlaşılmadıkça her borç, doğumu anında muaccel olur. II."" [Kaynak: TBK m.90]",REVISE,,"TBK m.90 metnine göre: ""İfa zamanı taraflarca kararlaştırılmadıkça veya hukuki ilişkinin özelliğinden anlaşılmadıkça her borç, doğumu anında muaccel olur."" [Kaynak: TBK m.90]",,REVISE,,"TBK m.90 metnine göre: ""İfa zamanı taraflarca kararlaştırılmadıkça veya hukuki ilişkinin özelliğinden anlaşılmadıkça her borç, doğumu anında muaccel olur."" [Kaynak: TBK m.90]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.90 metnine göre: ""İfa zamanı taraflarca kararlaştırılmadıkça veya hukuki ilişkinin özelliğinden anlaşılmadıkça her borç, doğumu anında muaccel olur."" [Kaynak: TBK m.90]",1,
61,3ac8f46d24342eb4,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:561:tpl:2,train_pending_review,,,,,TBK m.561 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.561] Başlık: I. Tanımı / Saklama sözleşmesi, saklayanın, saklatanın kendisine
bıraktığı bir taşınırı güvenli bir yerde koruma altına almayı üstlendiği sözleşmedir. Açıkça öngörüldüğü veya durum ve koşullar gerektirdiği takdirde, saklayan ücret isteyebilir. II. Saklatanın borçları","Madde metni şu kuralı içerir: ""bıraktığı bir taşınırı güvenli bir yerde koruma altına almayı üstlendiği sözleşmedir."" [Kaynak: TBK m.561]",REVISE,,"Madde metni şu kuralı içerir: ""Saklama sözleşmesi, saklayanın, saklatanın kendisine bıraktığı bir taşınırı güvenli bir yerde koruma altına almayı üstlendiği sözleşmedir. Açıkça öngörüldüğü veya durum ve koşullar gerektirdiği takdirde, saklayan ücret isteyebilir."" [Kaynak: TBK m.561]",,REVISE,,"Madde metni şu kuralı içerir: Saklama sözleşmesi, saklayanın, saklatanın kendisine bıraktığı bir taşınırı güvenli bir yerde koruma altına almayı üstlendiği sözleşmedir. Açıkça öngörüldüğü veya durum ve koşullar gerektirdiği takdirde, saklayan ücret isteyebilir. [Kaynak: TBK m.561]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Saklama sözleşmesi, saklayanın, saklatanın kendisine bıraktığı bir taşınırı güvenli bir yerde koruma altına almayı üstlendiği sözleşmedir. Açıkça öngörüldüğü veya durum ve koşullar gerektirdiği takdirde, saklayan ücret isteyebilir."" [Kaynak: TBK m.561]",1,
62,3ad87b5b6beef814,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:221:tpl:4,train_pending_review,,,,,TBK m.221 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.221] Başlık: 2. Sorumsuzluk anlaşması / Satıcı satılanı ayıplı olarak devretmekte ağır kusurlu
ise, ayıptan sorumluluğunu kaldıran veya sınırlayan her anlaşma kesin olarak hükümsüzdür.","Doğrudan metin dayanağı: ""ise, ayıptan sorumluluğunu kaldıran veya sınırlayan her anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.221]",REVISE,,"Doğrudan metin dayanağı: ""Satıcı satılanı ayıplı olarak devretmekte ağır kusurlu ise, ayıptan sorumluluğunu kaldıran veya sınırlayan her anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.221]",,REVISE,,"Doğrudan metin dayanağı: ""Satıcı satılanı ayıplı olarak devretmekte ağır kusurlu ise, ayıptan sorumluluğunu kaldıran veya sınırlayan her anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.221]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Satıcı satılanı ayıplı olarak devretmekte ağır kusurlu ise, ayıptan sorumluluğunu kaldıran veya sınırlayan her anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.221]",1,
